,train_rmse,val_rmse,test_rmse,train_mae,val_mae,test_mae,train_r2,val_r2,test_r2,method
Borivali,23.87728995415035,25.031351782076207,23.673965749010804,16.847722595062965,17.067247749150216,16.867556241019862,0.5168892721308916,0.5177791291215657,0.5220125465332894,statistical_median
Kandivali,26.451511023002702,26.765265610670394,28.40288699449382,20.144325655624744,20.035868739288343,20.238998194368516,0.5309838375402893,0.47627299667873557,0.4451424827418925,linear_interpolation
Nerul,27.612416713226963,23.840514481227178,26.081222154316425,19.360037537405713,17.245602637778987,19.02532032301669,0.6068118168186794,0.681074954567979,0.6549855871552202,linear_interpolation
Mahape,25.309561620885656,23.61800467680309,26.542777039037492,17.9159660018231,16.984942264369277,18.041180829066782,0.7412391379335297,0.7738842422451898,0.7274819782356693,linear_interpolation
Borivali,25.21418239048374,25.57428547476043,24.53785847250394,18.874396475877315,18.699435472112736,18.675970273388156,0.5531648099597956,0.5763472537289205,0.5539732660214809,linear_interpolation
Powai,15.074143205818991,14.80695387630599,14.608342998835424,11.383217814451372,11.141720538550876,11.257792481201776,0.7760270269889485,0.7917699576037749,0.7815775929022983,linear_interpolation
Worli,17.181960306341843,15.931738713854031,19.48938150465006,11.884718579811125,11.537540338881344,12.412645347021712,0.8287700895064273,0.8583464425274745,0.7819746188490202,linear_interpolation
Bandra,48.8214073990465,54.75303866027604,43.89779772419502,17.04098092291584,18.489129946587592,16.687497716261067,0.08648195006941062,0.07426385317638495,0.12456837441195046,linear_interpolation
Sion,20.795426979989813,20.60030638540097,20.885867226751206,15.00553606921287,14.976311468641141,15.503419125582543,0.6847455977175463,0.6836999660119847,0.6708698349141208,linear_interpolation
Mulund,22.181959291892316,21.42509106786206,21.151312025497454,17.78654863770537,17.91946009224224,17.249438322170388,0.5927892351606323,0.6323887157519792,0.6140603470311987,linear_interpolation
Colaba,23.01101052205968,22.954493266424713,25.64031376708384,15.38231383988865,15.475848085838976,16.455005589270186,0.1439773380094158,0.18490638067526888,0.03339315547234656,linear_interpolation
Airport,8.886487216146143,8.629893158128583,8.670891002411036,6.4153293509075375,6.109322979697248,6.248636192262894,0.8695440352092287,0.868085370375928,0.8655050886040134,linear_interpolation
Kurla,81.51974743458014,82.25051855086411,74.29723079306393,42.84959389869922,42.688424940275155,40.998222250247196,0.10779039871421126,0.09634968175184733,0.14068512730687877,linear_interpolation
Vileparle,22.010447575381992,19.779891581749705,20.485293151859057,16.160907293199315,15.01632969642655,15.46144492704863,0.6913036545582337,0.7139445844258294,0.7364227714175098,linear_interpolation
